time,BTC,ETH,XRP,BNB,SOL,HYPE,SUI,ADA,STETH,TRX,DOGE,XLM,LINK,TON,WBTC,compound
2023-08-08,29770.51,1855.78,0.6418,245.1,24.21,0.0,0.5942,0.2973,1851.7,0.0768,0.07494,0.1428,7.462,1.287,29758.6,0.12583570765056165
2023-08-09,29566.47,1854.14,0.643,243.99,24.37,0.0,0.5949,0.3011,1843.76,0.07668,0.07536,0.1415,7.674,1.252,29566.47,0.11992249259200241
2023-08-10,29428.1,1850.51,0.6325,241.63,24.59,0.0,0.6044,0.296,1850.14,0.07725,0.0758,0.1388,7.611,1.26,29428.1,0.15330691949703704
2023-08-11,29403.56,1847.01,0.6313,239.74,24.61,0.0,0.6048,0.2931,1836.48,0.07716,0.07567,0.1396,7.483,1.286,29432.96,0.23045841231743833
2023-08-12,29417.08,1849.08,0.6272,240.18,24.91,0.0,0.6074,0.2919,1833.18,0.07742,0.07667,0.1379,7.44,1.361,29417.08,0.21975074358127153
2023-08-13,29281.55,1839.07,0.6257,239.99,24.21,0.0,0.5989,0.2892,1808.73,0.07705,0.07471,0.1378,7.368,1.419,29310.83,0.2090438957338125
2023-08-14,29409.22,1844.02,0.634,240.27,25.17,0.0,0.5996,0.2904,1830.56,0.07745,0.07463,0.136,7.407,1.429,29409.22,0.2890045365091821
2023-08-15,29171.23,1827.21,0.6098,236.96,23.88,0.0,0.5609,0.2819,1793.04,0.07626,0.07086,0.1302,7.036,1.466,29165.4,0.32837627296682753
2023-08-16,28702.8,1805.68,0.5884,231.91,22.79,0.0,0.527,0.2745,1805.5,0.07464,0.06712,0.1265,6.756,1.419,28694.19,0.3059025536700799
2023-08-17,26629.67,1681.74,0.5068,218.17,21.69,0.0,0.476,0.2559,1673.33,0.07265,0.06104,0.1133,6.197,1.335,26656.3,0.33403055584937813
2023-08-18,26049.69,1661.34,0.506,215.98,21.33,0.0,0.4843,0.264,1652.7,0.07299,0.06323,0.1166,6.173,1.271,26101.79,0.311859671208755
2023-08-19,26095.8,1669.67,0.5198,216.67,21.89,0.0,0.559,0.2688,1654.48,0.07411,0.0638,0.1239,6.178,1.344,26147.99,0.2895731835302422
2023-08-20,26191.01,1685.38,0.5388,216.53,21.77,0.0,0.544,0.2704,1673.25,0.07587,0.06384,0.1296,6.22,1.371,26243.39,0.3026712971085439
2023-08-21,26126.18,1667.37,0.5246,210.37,21.2,0.0,0.514,0.2628,1662.53,0.07517,0.06252,0.1247,6.175,1.354,26178.43,0.208007284875654
2023-08-22,26043.01,1634.23,0.5204,210.82,20.56,0.0,0.5357,0.2586,1622.95,0.07547,0.06254,0.1206,6.113,1.372,26040.41,0.12276139325000236
2023-08-23,26429.4,1679.23,0.5298,216.59,21.73,0.0,0.6011,0.268,1663.78,0.0776,0.06378,0.1274,6.348,1.426,26455.83,0.09564701678795373
2023-08-24,26166.22,1660.46,0.5183,218.88,21.05,0.0,0.5724,0.2658,1594.21,0.07656,0.06305,0.1238,6.083,1.409,26192.39,0.046005460771232534
2023-08-25,26051.29,1652.94,0.5257,218.53,20.42,0.0,0.5563,0.2611,1646.66,0.07721,0.06309,0.1238,6.012,1.421,26077.34,0.06271782740099623
2023-08-26,26010.35,1646.3,0.5232,216.41,20.28,0.0,0.588,0.261,1633.79,0.07738,0.06287,0.1209,6.003,1.456,26036.36,0.018316623624935677
2023-08-27,26091.32,1657.6,0.5238,218.28,20.79,0.0,0.583,0.2633,1646.0,0.07746,0.06315,0.1209,6.028,1.52,26117.41,-0.0512985614418289
2023-08-28,26106.0,1652.22,0.523,218.85,20.55,0.0,0.5475,0.2675,1630.74,0.07633,0.06342,0.1199,5.975,1.497,26106.0,0.02298387700424881
2023-08-29,27724.41,1729.38,0.5398,226.9,21.79,0.0,0.5454,0.2727,1722.98,0.07732,0.06639,0.1244,6.193,1.717,27724.41,0.012695061979922026
2023-08-30,27305.41,1705.51,0.5283,223.56,20.82,0.0,0.5254,0.2655,1670.21,0.07564,0.06588,0.1204,5.925,1.732,27305.41,0.01707147221431822
2023-08-31,25937.29,1645.67,0.5109,216.68,19.73,0.0,0.5004,0.2553,1611.28,0.07671,0.06376,0.1149,5.878,1.733,25963.23,-0.053165937096354615
2023-09-01,25798.79,1628.51,0.4981,213.39,19.32,0.0,0.4888,0.2552,1622.0,0.07604,0.06385,0.1141,5.939,1.92,25798.79,-0.07938507332261374
2023-09-02,25868.56,1636.88,0.4989,214.39,19.49,0.0,0.4911,0.2562,1634.75,0.07703,0.06349,0.1135,5.972,1.865,25868.56,-0.07283894383712045
2023-09-03,25971.37,1635.72,0.5047,214.46,19.57,0.0,0.4836,0.2559,1628.85,0.07703,0.06316,0.1187,6.03,1.87,25971.37,-0.1293886227082356
2023-09-04,25816.24,1629.77,0.5082,215.18,19.51,0.0,0.4826,0.2561,1616.08,0.07748,0.06324,0.1243,6.014,1.875,25816.24,-0.10960372179095199
2023-09-05,25785.01,1633.83,0.505,214.45,20.26,0.0,0.4905,0.2577,1622.72,0.07745,0.06399,0.1223,6.137,1.784,25785.01,-0.13863565628689223
2023-09-06,25751.71,1632.35,0.5032,215.06,19.64,0.0,0.4809,0.2576,1595.95,0.07892,0.06361,0.1239,6.298,1.836,25777.46,-0.15222034377655605
2023-09-07,26264.75,1647.63,0.5051,217.18,19.91,0.0,0.4852,0.258,1616.49,0.07904,0.06363,0.1254,6.387,1.834,26246.36,-0.1813056743880259
2023-09-08,25907.13,1636.13,0.5049,214.59,19.61,0.0,0.4813,0.2542,1621.73,0.07916,0.06368,0.1269,6.281,1.798,25886.4,-0.08769176516257901
2023-09-09,25898.41,1635.27,0.5037,214.05,19.44,0.0,0.4809,0.2532,1624.15,0.07917,0.06337,0.1316,6.165,1.798,25898.41,-0.0873666263994757
2023-09-10,25833.67,1616.78,0.4969,212.53,18.24,0.0,0.4552,0.2491,1587.52,0.07833,0.06129,0.1338,6.016,1.714,25833.67,-0.13925217284727073
2023-09-11,25157.07,1551.53,0.4742,206.06,17.72,0.0,0.4262,0.2421,1546.72,0.07754,0.06046,0.1285,5.828,1.634,25144.49,-0.09712492724211128
2023-09-12,25840.34,1593.09,0.4801,210.73,17.92,0.0,0.428,0.2456,1588.79,0.08074,0.06088,0.1212,5.959,1.834,25840.34,-0.15716710974066236
2023-09-13,26227.49,1607.97,0.4832,212.47,18.4,0.0,0.4432,0.2487,1605.88,0.08116,0.06125,0.1208,6.022,1.88,26219.62,-0.14572392999042458
2023-09-14,26533.66,1627.01,0.4889,212.24,18.86,0.000252,0.4456,0.2514,1635.15,0.08369,0.06211,0.1203,6.154,1.921,26520.39,-0.24270743618441334
2023-09-15,26605.49,1641.48,0.5005,213.87,19.14,0.00023,0.4462,0.2506,1635.41,0.0841,0.06251,0.1203,6.367,2.075,26632.1,-0.30811673862933486
2023-09-16,26569.13,1634.86,0.4997,215.03,19.13,0.000246,0.4668,0.2504,1620.96,0.08354,0.06216,0.1194,6.282,2.408,26569.13,-0.2972736768358787
2023-09-17,26533.12,1622.81,0.4927,216.46,18.82,0.000251,0.4357,0.2472,1626.06,0.08338,0.06148,0.1162,6.151,2.296,26522.51,-0.2593503478361082
